trial_number,value,n_estimators,max_depth,min_samples_split,min_samples_leaf
0,0.9522351409724297,2600,90,5,5
1,0.956060144641386,2100,35,2,2
2,0.95200203939212,1400,45,3,5
3,0.9532629122055764,2400,90,5,4
4,0.9544072335552732,3500,90,9,3
5,0.9531569565437602,2100,50,5,4
6,0.9522457361007682,3400,90,7,5
7,0.9530827913189949,2500,60,10,4
8,0.9545555730984674,3100,95,5,3
9,0.9558482312969394,2900,55,5,2
10,0.9576812663008548,1700,35,2,1
11,0.9576388888187216,1500,30,2,1
12,0.9575541261080014,1400,30,2,1
13,0.9572680445075684,1800,70,3,1
14,0.9572044713799205,1700,40,3,1
15,0.9560071676524838,1800,70,2,2
16,0.9570243491461295,1600,30,7,1
17,0.9559541910003838,2100,40,4,2
18,0.9545873598306924,2000,75,7,3
19,0.9573316132567857,1400,50,4,1
20,0.956060148346212,1600,30,3,2
21,0.9575541261080014,1400,30,2,1
22,0.9575435225596042,1900,40,2,1
23,0.9572574470216134,1600,35,4,1
24,0.9559859763853996,2300,45,2,2
25,0.9575753143438644,1500,35,3,1
26,0.9558270410402624,1600,55,3,2
27,0.9572362571017385,1800,35,4,1
28,0.9559647871391296,2800,45,3,2
29,0.9571091111832452,2200,35,6,1
30,0.9572150648242473,1900,60,6,1
31,0.9576388888187216,1500,30,2,1
32,0.9577130543802893,1500,35,2,1
33,0.9557740647249647,1700,40,2,2
34,0.9576388888187216,1500,30,2,1
35,0.9557740630409529,1500,80,3,2
36,0.9543966407845511,1700,50,2,3
37,0.9575435276116394,2000,45,4,1
38,0.9520020397289223,1400,40,8,5
39,0.9574693590188507,2600,35,3,1
40,0.9543330659728916,1900,30,10,3
41,0.9576388888187216,1500,30,2,1
42,0.9577130543802893,1500,35,2,1
43,0.9576812663008548,1700,35,2,1
44,0.9572044713799205,1700,40,3,1
45,0.9559753815938633,3200,50,2,2
46,0.9531463617522239,1800,45,9,4
47,0.9576070960240544,1600,100,2,1
48,0.9560283565619515,2000,35,3,2
49,0.9574693590188504,1700,55,4,1
50,0.9572786355942787,1400,85,3,1
51,0.9576388888187216,1500,30,2,1
52,0.9576282879647433,1600,35,2,1
53,0.9577130543802893,1500,35,2,1
54,0.9575964982012969,1800,40,2,1
55,0.9556469177960643,1400,40,3,2
56,0.9576812663008548,1700,35,2,1
57,0.9576600716657472,1700,45,2,1
58,0.9575329324833008,2200,35,3,1
59,0.9576282879647433,1600,35,2,1
60,0.955901213337877,1900,45,5,2
61,0.9576600716657472,1700,45,2,1
62,0.9575964982012969,1800,40,2,1
63,0.9531463614154215,1600,35,3,4
64,0.9576706667940856,1700,50,2,1
65,0.9575965005589134,2400,70,2,1
66,0.9572786355942787,1400,60,3,1
67,0.9576494775478156,1900,50,2,1
68,0.9577130543802893,1500,35,2,1
69,0.9560707441481552,1500,30,3,2
70,0.9572574470216134,1600,35,4,1
71,0.9575964982012969,1800,40,2,1
72,0.9576706667940856,1700,65,2,1
73,0.9576388820826747,1500,40,2,1
74,0.9574905499491324,1400,35,3,1
75,0.9575329321464984,1600,30,2,1
76,0.9576812652904478,2900,35,2,1
77,0.9575647182051189,3000,30,3,1
78,0.9577448397653052,3300,35,2,1
79,0.956038955395116,3500,40,2,2
80,0.9576282923431737,3300,30,3,1
81,0.9576812652904478,2700,35,2,1
82,0.9577660317059941,3400,35,2,1
83,0.9575859057673771,3400,40,2,1
84,0.9577660317059941,3400,35,2,1
85,0.9575965032533323,3200,30,2,1
86,0.9575541230767802,3300,35,3,1
87,0.9560813379292843,3400,40,2,2
88,0.9570137499761628,3500,30,8,1
89,0.9522033539034022,3300,35,3,5
90,0.9576918614291934,3200,35,2,1
91,0.9576918614291934,3200,35,2,1
92,0.957554118024745,3200,40,2,1
93,0.9577024579047414,3100,35,2,1
94,0.9577024579047414,3100,35,2,1
95,0.9576071004024849,3100,30,2,1
96,0.9533158922256998,3400,45,3,4
97,0.9577024579047414,3100,35,2,1
98,0.9575647141634906,3100,40,2,1
99,0.9576388867979077,3300,30,2,1
100,0.957564722246747,3000,75,3,1
101,0.9577130530330799,3000,35,2,1
102,0.9577130530330799,3000,35,2,1
103,0.9576812652904478,2900,35,2,1
104,0.9576494782214203,3000,40,2,1
105,0.9576812696688783,3500,30,2,1
106,0.9576706704989116,2800,40,2,1
107,0.957596505947751,3400,35,3,1
108,0.9577130530330799,3000,35,2,1
109,0.9544814051792833,2800,35,2,3
110,0.9570455363715856,3000,30,7,1
111,0.9571197066483861,2900,35,6,1
112,0.9575647141634906,3100,40,2,1
113,0.9577448397653052,3300,35,2,1
114,0.9576388867979077,3300,30,2,1
115,0.9575859057673771,3400,40,2,1
116,0.9577024579047414,3500,35,2,1
117,0.9573528095759052,2600,45,3,1
118,0.9576388867979077,3300,30,2,1
119,0.9576918614291934,3200,35,2,1
120,0.9576494782214203,3000,40,2,1
121,0.9577024579047414,3100,35,2,1
122,0.9576918614291934,3200,35,2,1
123,0.9577024579047414,3100,35,2,1
124,0.9576388888187216,1500,30,2,1
125,0.9576812652904478,2700,35,2,1
126,0.9575964988749016,3000,95,2,1
127,0.957596505947751,3400,35,3,1
128,0.9576388830930819,2900,40,2,1
129,0.9545661695740154,2400,30,3,3
130,0.9576070963608566,3300,40,2,1
131,0.9577024579047414,3100,35,2,1
132,0.9577024579047414,3100,35,2,1
133,0.9576918614291934,3200,35,2,1
134,0.9576812652904478,2900,35,2,1
135,0.9576071000656826,3000,30,2,1
136,0.9576070963608566,3300,40,2,1
137,0.9576812686584714,1400,35,2,1
138,0.9570137499761628,3500,30,8,1
139,0.9575541234135826,3100,35,3,1
140,0.9574799527999797,2500,30,2,1
141,0.9577024579047414,3500,35,2,1
142,0.9577660317059941,3400,35,2,1
143,0.9569395773417457,3400,35,9,1
144,0.9575859057673771,3400,40,2,1
145,0.9575647151738976,2300,40,2,1
146,0.9577448397653052,3300,35,2,1
147,0.9577448397653052,3300,35,2,1
148,0.9576388867979077,3300,30,2,1
149,0.9577660317059941,3400,35,2,1
150,0.9575859057673771,3400,40,2,1
151,0.9577448397653052,3300,35,2,1
152,0.9577660317059941,3400,35,2,1
153,0.9577660317059941,3400,35,2,1
154,0.9577660317059941,3400,35,2,1
155,0.9576388871347099,3400,30,2,1
156,0.9577024579047414,3500,35,2,1
157,0.9576070963608566,3300,40,2,1
158,0.9577660317059941,3400,35,2,1
159,0.9575541230767802,3300,35,3,1
160,0.9575859057673771,3400,40,2,1
161,0.9577660317059941,3400,35,2,1
162,0.9577024579047414,3500,35,2,1
163,0.9574057855544004,3400,35,5,1
164,0.9576388871347099,3400,30,2,1
165,0.9577448397653052,3300,35,2,1
166,0.9575753089550268,3300,65,2,1
167,0.9577660317059941,3400,35,2,1
168,0.9575647145002929,3400,85,2,1
169,0.9577024579047414,3500,35,2,1
170,0.956748858632407,3300,35,10,1
171,0.9577660317059941,3400,35,2,1
172,0.9577660317059941,3400,35,2,1
173,0.9577660317059941,3400,35,2,1
174,0.9576388871347099,3400,30,2,1
175,0.9577660317059941,3400,35,2,1
176,0.9577660317059941,3400,35,2,1
177,0.9575647148370954,3500,40,2,1
178,0.9576388871347099,3400,30,2,1
179,0.9575647148370954,3500,40,2,1
180,0.9577660317059941,3400,35,2,1
181,0.9577660317059941,3400,35,2,1
182,0.9577660317059941,3400,35,2,1
183,0.9577660317059941,3400,35,2,1
184,0.9577660317059941,3400,35,2,1
185,0.9577660317059941,3400,35,2,1
186,0.9577024579047414,3500,35,2,1
187,0.9576388871347099,3400,30,2,1
188,0.952235140298825,3500,35,2,5
189,0.9577660317059941,3400,35,2,1
190,0.9575647148370954,3500,40,2,1
191,0.9577660317059941,3400,35,2,1
192,0.9577660317059941,3400,35,2,1
193,0.9577660317059941,3400,35,2,1
194,0.9577024579047414,3500,35,2,1
195,0.9576388871347099,3400,30,2,1
196,0.9577660317059941,3400,35,2,1
197,0.9577660317059941,3400,35,2,1
198,0.957162088845752,3500,40,6,1
199,0.9577660317059941,3400,35,2,1
200,0.9576282883015456,3500,60,2,1
201,0.9575647145002929,3400,55,2,1
202,0.9533476796315297,3400,35,2,4
203,0.9577660317059941,3400,35,2,1
204,0.9577448397653052,3300,35,2,1
205,0.9577660317059941,3400,35,2,1
206,0.9575647148370954,3500,40,2,1
207,0.9576388871347099,3400,30,2,1
208,0.9577448397653052,3300,35,2,1
209,0.9577024579047414,3500,35,2,1
210,0.9576388871347099,3400,30,2,1
211,0.9577660317059941,3400,35,2,1
212,0.9577660317059941,3400,35,2,1
213,0.9577448397653052,3300,35,2,1
214,0.9577660317059941,3400,35,2,1
215,0.9577024579047414,3500,35,2,1
216,0.9577448397653052,3300,35,2,1
217,0.9577660317059941,3400,35,2,1
218,0.9571938779355937,3400,40,7,1
219,0.9577024579047414,3500,35,2,1
220,0.9576388867979077,3300,30,2,1
221,0.9577660317059941,3400,35,2,1
222,0.9577660317059941,3400,35,2,1
223,0.9577660317059941,3400,35,2,1
224,0.9577660317059941,3400,35,2,1
225,0.9577024579047414,3500,35,2,1
226,0.9576070963608566,3300,40,2,1
227,0.9577660317059941,3400,35,2,1
228,0.9577660317059941,3400,35,2,1
229,0.9576812696688783,3500,30,2,1
230,0.9577448397653052,3300,35,2,1
231,0.9577660317059941,3400,35,2,1
232,0.9577660317059941,3400,35,2,1
233,0.9577660317059941,3400,35,2,1
234,0.9577660317059941,3400,35,2,1
235,0.9577024579047414,3500,35,2,1
236,0.9577448397653052,3300,35,2,1
237,0.9575859057673771,3400,40,2,1
238,0.9576812696688783,3500,30,2,1
239,0.9577660317059941,3400,35,2,1
240,0.9576070963608566,3300,40,2,1
241,0.9577660317059941,3400,35,2,1
242,0.9577660317059941,3400,35,2,1
243,0.9577660317059941,3400,35,2,1
244,0.9577660317059941,3400,35,2,1
245,0.9577448397653052,3300,35,2,1
246,0.9577024579047414,3500,35,2,1
247,0.9577660317059941,3400,35,2,1
248,0.9577448397653052,3300,35,2,1
249,0.9577660317059941,3400,35,2,1
250,0.9577024579047414,3500,35,2,1
251,0.9575647145002929,3400,70,2,1
252,0.9574481684253712,3300,30,4,1
253,0.9575859057673771,3400,40,2,1
254,0.9577024579047414,3500,35,2,1
255,0.9577660317059941,3400,35,2,1
256,0.9576388867979077,3300,30,2,1
257,0.9573845979921419,3400,40,3,1
258,0.9577024579047414,3500,35,2,1
259,0.9577660317059941,3400,35,2,1
260,0.9577448397653052,3300,35,2,1
261,0.9576388871347099,3400,30,2,1
262,0.9575647148370954,3500,40,2,1
263,0.9577660317059941,3400,35,2,1
264,0.9545237877134517,3400,35,2,3
265,0.9575753089550268,3300,75,2,1
266,0.9577024579047414,3500,35,2,1
267,0.9575859057673771,3400,40,2,1
268,0.9577448397653052,3300,35,2,1
269,0.9576812696688783,3500,30,2,1
270,0.9577660317059941,3400,35,2,1
271,0.957596505947751,3400,35,3,1
272,0.9577448397653052,3300,35,2,1
273,0.9575965032533323,3200,30,2,1
274,0.9575647148370954,3500,40,2,1
275,0.9577660317059941,3400,35,2,1
276,0.9577660317059941,3400,35,2,1
277,0.9575541230767802,3300,35,3,1
278,0.9576388827562794,2100,40,2,1
279,0.9576388871347099,3400,30,2,1
280,0.9577024579047414,3500,35,2,1
281,0.9577660317059941,3400,35,2,1
282,0.9545661699108177,3500,35,2,3
283,0.9577660317059941,3400,35,2,1
284,0.9576070963608566,3300,40,2,1
285,0.9576388871347099,3400,30,2,1
286,0.9577024579047414,3500,35,2,1
287,0.9577660317059941,3400,35,2,1
288,0.9576388867979077,3300,30,2,1
289,0.9575859057673771,3400,40,2,1
290,0.9577024579047414,3500,35,2,1
291,0.9577448397653052,3300,35,2,1
