trial_number,value,n_estimators,max_depth,min_samples_split,min_samples_leaf
175,0.957766031705994,3400,35,2,1
146,0.9577448397653052,3300,35,2,1
32,0.9577130543802892,1500,35,2,1
108,0.95771305303308,3000,35,2,1
156,0.9577024579047414,3500,35,2,1
122,0.9576918614291934,3200,35,2,1
356,0.9576812696688785,3500,30,2,1
137,0.9576812686584714,1400,35,2,1
56,0.9576812663008548,1700,35,2,1
125,0.9576812652904478,2700,35,2,1
106,0.9576706704989116,2800,40,2,1
64,0.9576706667940856,1700,50,2,1
61,0.9576600716657472,1700,45,2,1
104,0.9576494782214204,3000,40,2,1
67,0.9576494775478156,1900,50,2,1
124,0.9576388888187216,1500,30,2,1
174,0.95763888713471,3400,30,2,1
220,0.9576388867979077,3300,30,2,1
128,0.957638883093082,2900,40,2,1
278,0.9576388827562794,2100,40,2,1
73,0.9576388820826748,1500,40,2,1
80,0.9576282923431736,3300,30,3,1
200,0.9576282883015456,3500,60,2,1
52,0.9576282879647432,1600,35,2,1
367,0.9576176924996024,2000,35,2,1
